field_id,fp_id,lab_no,harvest,fb,fb_sample,db_sample,db_p,db
g4,401,331,H1,4.070,0.392,0.057,14.54,0.592
g4,402,331,H1,3.158,0.381,0.064,16.85,0.532
g4,403,331,H1,3.902,0.292,0.044,14.90,0.581
g4,404,331,H1,3.099,0.301,0.047,15.65,0.485
g4,405,331,H1,2.954,0.318,0.050,15.75,0.465
g4,406,331,H1,3.382,0.321,0.050,15.61,0.528
g4,407,331,H1,2.939,0.342,0.054,15.70,0.461
g4,408,331,H1,3.333,0.352,0.049,13.92,0.464
g4,409,331,H1,3.304,0.333,0.045,13.63,0.450
g4,410,331,H1,2.878,0.319,0.047,14.58,0.420
g4,411,331,H1,2.850,0.307,0.047,15.37,0.438
g4,412,331,H1,3.826,0.312,0.051,16.31,0.624
g4,413,331,H1,2.833,0.342,0.057,16.67,0.472
g4,414,331,H1,2.846,0.318,0.047,14.91,0.424
g4,415,331,H1,2.483,0.332,0.054,16.14,0.401
g4,416,331,H1,2.498,0.342,0.065,19.01,0.475
g4,417,331,H1,2.715,0.324,0.057,17.72,0.481
g4,418,331,H1,3.165,0.311,0.054,17.40,0.551
g4,419,331,H1,2.388,0.319,0.062,19.31,0.461
g4,420,331,H1,2.239,0.334,0.054,16.05,0.359
